tipo,durataextra
gghpsxtwzqd,88
pfrutsmfkzb,71
bklrapiyntj,12
hvoslyrmcuo,71
zolznzdlmcd,15
yjoxcejplgf,10
oqdqcnusqxd,52
jqvhgqcxziw,97
zkxzoinqfse,39
wcjyexylepr,93
hlecyetjjlm,8
rkzwvsjidth,26
hdylcugmcmj,96
hxrfhxxdgqd,5
uzrpioyrmgh,94
dswgywlcyil,34
vbrewrhnlxi,5
pixzmwoldqf,63
ampubdjdbse,100
cbbqiphdzqu,50
xkfzgmzdrqr,13
brcshlktzew,57
swtitbbdime,51
duzfgwfkcxl,33
hecmnuvdpxl,81
qmkrqteshem,61
ywbwrgethnm,47
pblcszvfrra,58
pqowdzzhwla,84
ufkngzzcaqx,62
kcdirpqxpcr,71
mudydjnmhar,41
epeuhcckhet,49
wqcllteqaml,21
qzsqvmdkhtv,97
fovgczcqgqo,48
qckiaixmghn,23
bjlkhmjlhsz,37
hpqtotcfyni,20
tdmazeiwujn,39
uvdxedprbab,55
glwermcsfuq,21
pnfntyoxtpf,1
izrmzxkozva,16
ezipgnszsgz,14
lgbedzkzzyr,30
qtsrlpdipil,19
jhsayzprkyj,13
omgemmsntks,19
upahmepzlnu,80
blxmzyqphol,65
zvebqxauvvi,89
ovbwvkexlbp,55
vhijrqhahqh,3
eeeefqhncwa,32
cwdyvihreeg,70
uvipfmddndi,9
ltvaxurcuty,49
plpttsbzacs,42
kcauoiufubu,11
cltdwcxadba,28
zahdxgrgeum,92
tvenbixnadx,38
qhglbobprmk,76
gobnggoqfzd,54
tcgpwtvahhf,79
atnmyykenjs,75
hajzpnbmjzc,59
lejoeijqaho,12
hphbgaimyxj,70
kxduvkyyrqa,15
nqjudgexnyu,89
govdbmgtekj,9
lmqhnbrjkcc,88
pkvoyujqowc,32
hdvkrhdnoou,31
gvzqyigzezl,41
cehkdiqynwp,40
lwlreqqmplb,79
wkukavxjdav,87
pzjxbgxnxvi,86
bmsfaiduzxa,88
zzcqcgrkrli,89
azgjgqophed,40
xpnvmrvcjvu,71
egtpklfpguc,44
dndjtatnszs,42
